;;;;;;;;;Member;Member
;;;;;;;;;Credential issuance;Credential issuance
Schema Base [SB];SB: Description;SB: Classification;SB: Attribute Name;SB: Attribute Type;SB: Blinding Identity;Format Overlay;Label Overlay;Character Encoding Overlay;Entry Overlay;Information Overlay
;;;;;;;en_US;;en_US;en_US
CredentialValidity;A schema to be used to allow temporal control over credential validity;;credentialIssuedBy;Text;Y;;Credential|Issuer:;utf-8;;
CredentialValidity;A schema to be used to allow temporal control over credential validity;;credentialValidFrom;Date;Y;DD/MM/YYYY;Credential|Valid from:;utf-8;;
CredentialValidity;A schema to be used to allow temporal control over credential validity;;credentialValidUntil;Date;Y;DD/MM/YYYY;Credential|Valid until:;utf-8;;
LargeQuestionnaire;A schema used to resolve a large set of questions devised for the purposes of a survey or statistical study;;questionnaireRiskArea;Text;;;Questionnaire|Risk area:;utf-8;HSE|Labor Rights;Please select from the dropdown list
LargeQuestionnaire;A schema used to resolve a large set of questions devised for the purposes of a survey or statistical study;;questionnaireName;Text;;;Questionnaire|Name:;utf-8;;Please enter the questionnaire name and version according to PSCI questionnaire iterations
LargeQuestionnaire;A schema used to resolve a large set of questions devised for the purposes of a survey or statistical study;;hashedPayload;DRI;Y;;Questionnaire|DRI;utf-8;;Please enter the decentralized resource identifier for the target payload
